 trial	counterbalance	trialType	trialID	cond	audio	target_pic	target_contrast_good	target_contrast_bad	big_filler	small_filler
1	l1	test	test1	contrast	pickle_big.wav	pickle_big.jpg	pickle_small.jpg	pickle_small.jpg	stapler_big.jpg	tennisball_small.jpg
2	l1	test	test2	contrast	lobster_small.wav	lobster_small.jpg	lobster_big.jpg	lobster_big.jpg	windmill_big.jpg	cake_small.jpg
3	l1	test	test3	contrast	corn_big.wav	corn_big.jpg	corn_small.jpg	corn_small.jpg	muffin_big.jpg	lacrosse_small.jpg
4	l1	test	test4	contrast	cookie_small.wav	cookie_small.jpg	cookie_big.jpg	cookie_big.jpg	speaker_big.jpg	teapot_small.jpg
5	l1	test	test5	contrast	hat_big.wav	hat_big.jpg	hat_small.jpg	hat_small.jpg	helmet_big.jpg	wreath_small.jpg
6	l1	test	test6	contrast	backpack_small.wav	backpack_small.jpg	backpack_big.jpg	backpack_big.jpg	broccoli_big.jpg	shovel_small.jpg
7	l1	test	test7	contrast	ballerina_big.wav	ballerina_big.jpg	ballerina_small.jpg	ballerina_small.jpg	piano_big.jpg	cables_small.jpg
8	l1	test	test8	contrast	icecream_small.wav	icecream_small.jpg	icecream_big.jpg	icecream_big.jpg	funnel_big.jpg	pizza_small.jpg
9	l1	test	test9	contrast	pear_big.wav	pear_big.jpg	pear_small.jpg	pear_small.jpg	soap_big.jpg	cannoli_small.jpg
10	l1	test	test10	contrast	bird_small.wav	bird_small.jpg	bird_big.jpg	bird_big.jpg	hairclip_big.jpg	trophy_small.jpg
11	l1	test	test11	contrast	dog_big.wav	dog_big.jpg	dog_small.jpg	dog_small.jpg	dinosaur_big.jpg	palette_small.jpg
12	l1	test	test12	contrast	cat_small.wav	cat_small.jpg	cat_big.jpg	cat_big.jpg	veggieplatter_big.jpg	recliner_small.jpg
13	l1	test	test13	contrast	flower_small.wav	flower_small.jpg	flower_big.jpg	flower_big.jpg	mug_big.jpg	fireextinguisher_small.jpg
